ID,PLIP_score
SWH_docked_complex,0.4000
SXS_docked_complex,0.4000
SZC_docked_complex,0.4000
T1H_docked_complex,0.4000
T2K_docked_complex,0.4000
T30_docked_complex,0.4000
T4X_docked_complex,0.4000
T73_docked_complex,0.4000
T7I_docked_complex,0.4000
T7W_docked_complex,0.4000
T9Z_docked_complex,0.4000
TB7_docked_complex,0.4000
TCI_docked_complex,0.4000
TF1_docked_complex,0.4000
TF3_docked_complex,0.4000
TFG_docked_complex,0.4000
TG7_docked_complex,0.4000
THK_docked_complex,0.4000
TIZ_docked_complex,0.4000
TJ2_docked_complex,0.4000
TM0_docked_complex,0.4000
TR3_docked_complex,0.4000
TSX_docked_complex,0.4000
TTC_docked_complex,0.4000
TV1_docked_complex,0.4000
U07_docked_complex,0.4000
U3O_docked_complex,0.4000
U5X_docked_complex,0.4000
U62_docked_complex,0.4000
UA6_docked_complex,0.4000
UCB_docked_complex,0.4000
UDY_docked_complex,0.4000
UF4_docked_complex,0.4000
UG8_docked_complex,0.4000
UIK_docked_complex,0.4000
UJ2_docked_complex,0.4000
UJ3_docked_complex,0.4000
UJU_docked_complex,0.4000
UL4_docked_complex,0.4000
UL8_docked_complex,0.4000
UO5_docked_complex,0.4000
UQE_docked_complex,0.4000
UQG_docked_complex,0.4000
URJ_docked_complex,0.4000
USV_docked_complex,0.4000
UTO_docked_complex,0.4000
UTV_docked_complex,0.4000
UUL_docked_complex,0.4000
UXG_docked_complex,0.4000
UYD_docked_complex,0.4000
V07_docked_complex,0.4000
V0B_docked_complex,0.4000
V0H_docked_complex,0.4000
V16_docked_complex,0.4000
V1B_docked_complex,0.4000
V2O_docked_complex,0.4000
V2T_docked_complex,0.4000
V4Z_docked_complex,0.4000
V8O_docked_complex,0.4000
VFC_docked_complex,0.4000
VH4_docked_complex,0.4000
VJ7_docked_complex,0.4000
VK6_docked_complex,0.4000
VRX_docked_complex,0.4000
VTA_docked_complex,0.4000
VU3_docked_complex,0.4000
VWN_docked_complex,0.4000
VX8_docked_complex,0.4000
VY1_docked_complex,0.4000
VYC_docked_complex,0.4000
VZX_docked_complex,0.4000
W38_docked_complex,0.4000
W52_docked_complex,0.4000
W53_docked_complex,0.4000
W5B_docked_complex,0.4000
W5F_docked_complex,0.4000
W6B_docked_complex,0.4000
W89_docked_complex,0.4000
W9D_docked_complex,0.4000
WC3_docked_complex,0.4000
WCK_docked_complex,0.4000
WDS_docked_complex,0.4000
WEJ_docked_complex,0.4000
WFC_docked_complex,0.4000
WFQ_docked_complex,0.4000
WGZ_docked_complex,0.4000
WNE_docked_complex,0.4000
WNN_docked_complex,0.4000
WP2_docked_complex,0.4000
WPB_docked_complex,0.4000
WRY_docked_complex,0.4000
WSH_docked_complex,0.4000
WU1_docked_complex,0.4000
WUU_docked_complex,0.4000
WVA_docked_complex,0.4000
WXB_docked_complex,0.4000
WYA_docked_complex,0.4000
WYC_docked_complex,0.4000
WZR_docked_complex,0.4000
X1Q_docked_complex,0.4000
X49_docked_complex,0.4000
X4U_docked_complex,0.4000
X5N_docked_complex,0.4000
X6L_docked_complex,0.4000
X7C_docked_complex,0.4000
X98_docked_complex,0.4000
X9T_docked_complex,0.4000
XA2_docked_complex,0.4000
XBJ_docked_complex,0.4000
XD5_docked_complex,0.4000
XGG_docked_complex,0.4000
XHP_docked_complex,0.4000
XMI_docked_complex,0.4000
XNE_docked_complex,0.4000
XNZ_docked_complex,0.4000
XPW_docked_complex,0.4000
