ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
GOK,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,-8.16,31.7707995832797,6.00993540870902,7,0,0,2411
7MJ,CN1c2ccccc2OC[C@@H](C1=O)NC(=O)c3[nH]nc(n3)Cc4ccccc4,-8.1,31.2405889029838,1.34757625402766,4,0,0,no
IP7,c1ccnc(c1)COc2ccc(cc2CNc3cccnc3N)c4ccc5cc[nH]c5c4,-9.02,34.1889471268068,8.22538585923466,5,0,0,no
EE6,CC(=CCc1cc(ccc1O)C=C2C(=C(C(=O)O2)c3ccc(c(c3)CC=C(C)C)O)O)C,-7.84,13.5618466011016,1.77089638451381,9,0,0,no
YOR,Cc1ccccc1[C@H]2c3c(cc(cc3NC(=O)c4csc5c4cccc5)NC6COC6)C(=O)N2,-8.47,33.4597394544287,1.42904289131756,4,0,0,no
XI3,Cc1ccc(cc1F)n2cc3c(n2)ncnc3N4CCC[C@@H](C4)C(=O)NCc5ccc6c(c5)ccs6,-8.6,33.733982145752,5.80917372381824,6,0,0,1848
JPH,CC1=CC(=O)N=C(N1)CCn2cc(nn2)c3ccc4c(c3)OCCO4,-8.02,29.8158405966522,0.814702835019176,6,0,0,no
CZ9,B(CNC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)N2CCN(C(=O)C2=O)CC)(O)O,-7.13,3.69117301701058,5.15177432153668,10,0.2,0,no
A1D84,Cc1ccc(c(c1c2cc(cc(c2N)C(=O)N)c3ccnc(c3)N4CC[C@H](C4)N)C)O,-8.23,32.5819927453427,0.903079827453675,4,0,0,no
9LS,c1ccc(c(c1)NC(=O)[C@H](C2CCCCC2)n3c4cc(c(cc4nc3c5ccc(cc5)Cl)F)F)F,-8.36,33.2184578427566,7.55350605910064,5,0,0,no
9JI,C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N,-8.08,31.2458774594933,5.27306983578257,6,0,0,no
G7K,COc1ccc2c(n1)sc(n2)Nc3cc(nc(n3)NC4CCC(CC4)O)C(c5ccc(cc5)F)(F)F,-8.83,34.112322236227,2.71610999714438,4,0,0,2557
BU0,C[C@@H](c1ccccc1)NC(=O)c2cc3c([n+](c2N)Cc4ccccc4)Nc5cccc[n+]5C3=O,-8.43,33.4353238804972,6.64527609601422,8,0,0,no
95O,Cc1nnc2n1cc(cc2N)C(=O)N3[C@H]4Cc5ccccc5[C@@H]3CNC4=O,-8.18,32.3002278228685,0.805934657482649,4,0,0,no
